token,top_anchors
chor,"n_plant_fragments(npmi=+0.20, n=14) | n_containers(npmi=+0.21, n=12) | n_rows(npmi=+0.21, n=8)"
choraiin,"n_human_figures(npmi=+0.24, n=1) | n_containers(npmi=+0.23, n=1) | n_labels(npmi=+0.15, n=2)"
chory,"fragments_are_whole_plants(npmi=+0.41, n=1) | n_containers(npmi=+0.23, n=2) | has_container(npmi=+0.19, n=2)"
chos,"n_plant_fragments(npmi=+0.30, n=6) | fragments_are_whole_plants(npmi=+0.43, n=2) | n_paragraphs(npmi=+0.22, n=7)"
chotaiin,"n_flowers_visible(npmi=+0.30, n=1) | branching_depth(npmi=+0.30, n=1) | n_leaves_visible(npmi=+0.26, n=1)"
chotain,"n_paragraphs(npmi=+0.44, n=3) | n_decorative_motifs(npmi=+0.43, n=3) | n_stars(npmi=+0.39, n=3)"
chotal,"n_rays_or_petals(npmi=+0.59, n=2) | n_concentric_rings(npmi=+0.33, n=3) | has_radial_symmetry(npmi=+0.30, n=3)"
chotar,"n_paragraphs(npmi=+0.50, n=7) | n_decorative_motifs(npmi=+0.49, n=7) | n_stars(npmi=+0.44, n=7)"
chotchy,"n_distinct_objects(npmi=+0.05, n=8)"
choteey,"has_radial_symmetry(npmi=+0.36, n=4) | has_circular_structure(npmi=+0.35, n=4) | n_labels(npmi=+0.31, n=5)"
chotey,"has_circular_structure(npmi=+0.42, n=5) | n_rays_or_petals(npmi=+0.56, n=2) | n_concentric_rings(npmi=+0.39, n=4)"
chotol,"n_rays_or_petals(npmi=+0.36, n=1) | n_concentric_rings(npmi=+0.19, n=2) | has_radial_symmetry(npmi=+0.16, n=2)"
choty,"has_marginal_annotation(npmi=+0.33, n=2) | has_central_object(npmi=+0.37, n=1) | n_decorative_motifs(npmi=+0.14, n=6)"
choy,"has_star_motif(npmi=+0.47, n=1) | fragments_are_whole_plants(npmi=+0.47, n=1) | n_containers(npmi=+0.29, n=2)"
chr,"n_pipes(npmi=+0.31, n=2) | n_pools(npmi=+0.28, n=2) | n_flowers_visible(npmi=+0.39, n=1)"
chs,"has_container(npmi=+0.26, n=3) | has_star_motif(npmi=+0.37, n=1) | n_human_figures(npmi=+0.19, n=2)"
chtal,"n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3) | n_stars(npmi=+0.34, n=3)"
chty,"has_marginal_annotation(npmi=+0.32, n=1) | n_flowers_visible(npmi=+0.27, n=1) | n_leaves_visible(npmi=+0.23, n=1)"
chy,"n_flowers_visible(npmi=+0.20, n=4) | n_visual_text_columns(npmi=+0.17, n=5) | n_leaves_visible(npmi=+0.15, n=4)"
chyky,"n_flowers_visible(npmi=+0.39, n=1) | branching_depth(npmi=+0.39, n=1) | n_rays_or_petals(npmi=+0.39, n=1)"
ch{ckhh}y,"n_paragraphs(npmi=+0.23, n=3) | n_decorative_motifs(npmi=+0.22, n=3) | has_marginal_annotation(npmi=+0.37, n=1)"
ch{cthh}y,"has_human_figure(npmi=+0.30, n=3) | n_pipes(npmi=+0.34, n=2) | n_pools(npmi=+0.31, n=2)"
ckheey,"n_plant_fragments(npmi=+0.36, n=3) | has_star_motif(npmi=+0.47, n=1) | n_containers(npmi=+0.29, n=2)"
ckheody,"n_distinct_objects(npmi=+0.04, n=4)"
ckhey,"n_plant_fragments(npmi=+0.38, n=6) | n_rows(npmi=+0.42, n=4) | n_containers(npmi=+0.37, n=5)"
ckho,"n_visual_text_columns(npmi=+0.57, n=2) | has_marginal_annotation(npmi=+0.50, n=1) | n_flowers_visible(npmi=+0.45, n=1)"
ckhol,"n_rows(npmi=+0.28, n=2) | n_containers(npmi=+0.18, n=2) | n_flowers_visible(npmi=+0.24, n=1)"
ckhor,"n_flowers_visible(npmi=+0.39, n=1) | branching_depth(npmi=+0.39, n=1) | n_leaves_visible(npmi=+0.34, n=1)"
ckhy,"n_flowers_visible(npmi=+0.39, n=3) | branching_depth(npmi=+0.39, n=3) | n_leaves_visible(npmi=+0.33, n=3)"
cphaiin,"n_paragraphs(npmi=+0.11, n=1) | n_decorative_motifs(npmi=+0.10, n=1) | n_stars(npmi=+0.07, n=1)"
cphar,"has_marginal_annotation(npmi=+0.50, n=1) | n_visual_text_columns(npmi=+0.37, n=1) | n_pipes(npmi=+0.20, n=1)"
cphedy,"n_paragraphs(npmi=+0.27, n=2) | n_decorative_motifs(npmi=+0.26, n=2) | n_stars(npmi=+0.23, n=2)"
cphey,"has_marginal_annotation(npmi=+0.41, n=1) | n_pipes(npmi=+0.28, n=2) | n_pools(npmi=+0.25, n=2)"
cphol,"n_rows(npmi=+0.31, n=2) | fragments_are_whole_plants(npmi=+0.40, n=1) | n_containers(npmi=+0.21, n=2)"
cphor,"n_flowers_visible(npmi=+0.45, n=1) | branching_depth(npmi=+0.45, n=1) | n_leaves_visible(npmi=+0.41, n=1)"
cphy,"has_moon_face(npmi=+0.51, n=1) | n_visual_text_columns(npmi=+0.36, n=2) | has_star_motif(npmi=+0.39, n=1)"
cthaiin,"has_marginal_annotation(npmi=+0.34, n=1) | n_visual_text_columns(npmi=+0.21, n=1) | n_distinct_objects(npmi=+0.02, n=11)"
cthal,"n_visual_text_columns(npmi=+0.57, n=2) | has_marginal_annotation(npmi=+0.50, n=1) | n_flowers_visible(npmi=+0.45, n=1)"
cthar,"has_marginal_annotation(npmi=+0.31, n=1) | n_visual_text_columns(npmi=+0.18, n=1) | n_decorative_motifs(npmi=+0.05, n=2)"
cthdy,"n_pipes(npmi=+0.34, n=2) | has_marginal_annotation(npmi=+0.47, n=1) | n_pools(npmi=+0.31, n=2)"
cthedy,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_stars(npmi=+0.29, n=4)"
ctheey,"has_star_motif(npmi=+0.60, n=2) | n_containers(npmi=+0.32, n=3) | has_container(npmi=+0.29, n=3)"
ctheody,"n_containers(npmi=+0.41, n=2) | has_star_motif(npmi=+0.58, n=1) | has_container(npmi=+0.38, n=2)"
ctheol,"n_containers(npmi=+0.68, n=6) | has_container(npmi=+0.64, n=6) | n_plant_fragments(npmi=+0.62, n=6)"
cthey,"n_plant_fragments(npmi=+0.29, n=7) | n_rows(npmi=+0.28, n=4) | has_star_motif(npmi=+0.39, n=2)"
ctho,"n_rows(npmi=+0.19, n=1) | n_distinct_objects(npmi=+0.05, n=10) | n_containers(npmi=+0.10, n=1)"
cthody,"has_spiral(npmi=+0.51, n=1) | spiral_turns(npmi=+0.51, n=1) | n_beads(npmi=+0.51, n=1)"
cthol,"n_visual_text_columns(npmi=+0.25, n=3) | branching_depth(npmi=+0.23, n=2) | n_distinct_objects(npmi=+0.05, n=36)"
cthom,"branching_depth(npmi=+0.39, n=1) | n_leaves_visible(npmi=+0.34, n=1) | n_visual_text_columns(npmi=+0.31, n=1)"
cthor,"n_distinct_objects(npmi=+0.06, n=33) | n_flowers_visible(npmi=+0.09, n=1) | branching_depth(npmi=+0.09, n=1)"
cthy,"n_visual_text_columns(npmi=+0.31, n=5) | branching_depth(npmi=+0.34, n=4) | n_leaves_visible(npmi=+0.29, n=4)"
d,"has_marginal_annotation(npmi=+0.36, n=2) | n_rays_or_petals(npmi=+0.30, n=2) | n_visual_text_columns(npmi=+0.21, n=2)"
d@221;iin,"has_sun_face(npmi=+0.54, n=1) | n_containers(npmi=+0.20, n=1) | has_container(npmi=+0.17, n=1)"
d@221;l,"n_pools(npmi=+0.59, n=5) | n_nymphs(npmi=+0.56, n=5) | has_water(npmi=+0.55, n=5)"
d@221;r,"n_nymphs(npmi=+0.41, n=4) | has_water(npmi=+0.40, n=4) | n_pools(npmi=+0.34, n=3)"
da,"n_rows(npmi=+0.32, n=1) | n_containers(npmi=+0.23, n=1) | has_container(npmi=+0.20, n=1)"
daiidy,"n_rays(npmi=+0.54, n=1) | n_flowers_visible(npmi=+0.41, n=1) | branching_depth(npmi=+0.41, n=1)"
daiiin,"has_T_O_diagram(npmi=+0.45, n=1) | n_visual_text_columns(npmi=+0.28, n=2) | has_star_motif(npmi=+0.32, n=1)"
daiin,"n_plant_fragments(npmi=+0.06, n=16) | has_container(npmi=+0.05, n=15) | n_containers(npmi=+0.05, n=13)"
daiir,"has_radial_symmetry(npmi=+0.29, n=7) | has_circular_structure(npmi=+0.27, n=7) | n_concentric_rings(npmi=+0.27, n=6)"
daim,"has_container(npmi=+0.40, n=3) | n_labels(npmi=+0.31, n=5) | n_rows(npmi=+0.41, n=2)"
dain,"n_nymphs(npmi=+0.25, n=14) | has_water(npmi=+0.23, n=14) | n_decorative_motifs(npmi=+0.19, n=16)"
dair,"n_paragraphs(npmi=+0.29, n=16) | n_stars(npmi=+0.26, n=18) | n_decorative_motifs(npmi=+0.27, n=16)"
dal,"has_water(npmi=+0.26, n=17) | n_nymphs(npmi=+0.25, n=16) | n_pipes(npmi=+0.25, n=13)"
dal@152;y,"n_pools(npmi=+0.48, n=3) | n_nymphs(npmi=+0.45, n=3) | has_water(npmi=+0.44, n=3)"
dalal,"n_human_figures(npmi=+0.43, n=2) | has_human_figure(npmi=+0.34, n=3) | n_concentric_rings(npmi=+0.29, n=2)"
dalam,"has_sun_face(npmi=+0.54, n=1) | n_rays_or_petals(npmi=+0.41, n=1) | n_paragraphs(npmi=+0.23, n=2)"
dalchedy,"n_pipes(npmi=+0.43, n=2) | n_pools(npmi=+0.40, n=2) | n_nymphs(npmi=+0.38, n=2)"
daldy,"n_petals(npmi=+0.59, n=1) | n_pipes(npmi=+0.26, n=2) | n_stars(npmi=+0.21, n=3)"
dalol,"has_marginal_annotation(npmi=+0.44, n=1) | n_rays_or_petals(npmi=+0.39, n=1) | n_paragraphs(npmi=+0.20, n=2)"
dalor,"n_flowers_visible(npmi=+0.45, n=1) | branching_depth(npmi=+0.45, n=1) | n_leaves_visible(npmi=+0.41, n=1)"
dals,"n_flowers_visible(npmi=+0.41, n=1) | branching_depth(npmi=+0.41, n=1) | n_leaves_visible(npmi=+0.37, n=1)"
daly,"has_human_figure(npmi=+0.27, n=8) | has_water(npmi=+0.29, n=6) | n_nymphs(npmi=+0.24, n=5)"
dam,"n_petals(npmi=+0.29, n=1) | branching_depth(npmi=+0.19, n=2) | n_rays_or_petals(npmi=+0.19, n=2)"
dan,"n_visual_text_columns(npmi=+0.36, n=2) | has_marginal_annotation(npmi=+0.31, n=1) | n_flowers_visible(npmi=+0.26, n=1)"
dar,"n_decorative_motifs(npmi=+0.13, n=20) | n_pipes(npmi=+0.15, n=13) | n_paragraphs(npmi=+0.13, n=19)"
daram,"has_sun_face(npmi=+0.54, n=1) | n_rays(npmi=+0.54, n=1) | n_concentric_rings(npmi=+0.25, n=2)"
dary,"has_T_O_diagram(npmi=+0.47, n=1) | n_petals(npmi=+0.47, n=1) | n_stars(npmi=+0.19, n=5)"
dche@152;y,"n_pipes(npmi=+0.20, n=1) | n_pools(npmi=+0.18, n=1) | n_nymphs(npmi=+0.16, n=1)"
dchedy,"n_nymphs(npmi=+0.41, n=6) | has_water(npmi=+0.40, n=6) | n_stars(npmi=+0.33, n=7)"
dcheey,"n_stars(npmi=+0.27, n=5) | has_moon_face(npmi=+0.53, n=1) | n_rays(npmi=+0.40, n=1)"
dcheo,"n_decorative_motifs(npmi=+0.34, n=3) | has_marginal_annotation(npmi=+0.47, n=1) | n_visual_text_columns(npmi=+0.34, n=1)"
dcheol,"n_paragraphs(npmi=+0.31, n=3) | n_decorative_motifs(npmi=+0.30, n=3) | n_stars(npmi=+0.26, n=3)"
dchey,"has_moon_face(npmi=+0.50, n=1) | n_stars(npmi=+0.09, n=3) | n_rows(npmi=+0.12, n=1)"
dcho,"n_flowers_visible(npmi=+0.49, n=1) | branching_depth(npmi=+0.49, n=1) | n_leaves_visible(npmi=+0.45, n=1)"
dchol,"n_rays(npmi=+0.30, n=1) | n_flowers_visible(npmi=+0.17, n=1) | branching_depth(npmi=+0.17, n=1)"
dchor,"n_distinct_objects(npmi=+0.06, n=21) | n_flowers_visible(npmi=+0.18, n=1) | branching_depth(npmi=+0.18, n=1)"
dchy,"n_distinct_objects(npmi=+0.07, n=22) | n_flowers_visible(npmi=+0.17, n=1) | branching_depth(npmi=+0.17, n=1)"
deey,"n_rows(npmi=+0.26, n=1) | n_containers(npmi=+0.17, n=1) | has_container(npmi=+0.14, n=1)"
dl,"n_pipes(npmi=+0.26, n=3) | n_paragraphs(npmi=+0.22, n=4) | n_decorative_motifs(npmi=+0.21, n=4)"
do,"n_flowers_visible(npmi=+0.49, n=2) | branching_depth(npmi=+0.49, n=2) | n_leaves_visible(npmi=+0.45, n=2)"
dody,"n_concentric_rings(npmi=+0.12, n=1) | n_paragraphs(npmi=+0.11, n=1) | n_decorative_motifs(npmi=+0.10, n=1)"
doiin,"n_containers(npmi=+0.19, n=2) | has_container(npmi=+0.16, n=2) | n_plant_fragments(npmi=+0.15, n=2)"
doiir,"n_rays_or_petals(npmi=+0.39, n=1) | n_containers(npmi=+0.17, n=1) | has_container(npmi=+0.14, n=1)"
dol,"n_nymphs(npmi=+0.39, n=15) | n_pools(npmi=+0.40, n=14) | n_pipes(npmi=+0.40, n=13)"
doly,"has_marginal_annotation(npmi=+0.47, n=1) | n_plant_fragments(npmi=+0.33, n=2) | n_rays_or_petals(npmi=+0.41, n=1)"
dom,"n_paragraphs(npmi=+0.02, n=1) | n_decorative_motifs(npmi=+0.02, n=1) | n_distinct_objects(npmi=+0.01, n=7)"
dor,"n_plant_fragments(npmi=+0.17, n=6) | n_pipes(npmi=+0.13, n=5) | n_distinct_objects(npmi=+0.04, n=42)"
dshedy,"n_pools(npmi=+0.57, n=9) | n_nymphs(npmi=+0.54, n=9) | has_water(npmi=+0.52, n=9)"
dsheedy,"n_pipes(npmi=+0.38, n=2) | n_pools(npmi=+0.35, n=2) | n_nymphs(npmi=+0.33, n=2)"
dsheey,"n_paragraphs(npmi=+0.35, n=3) | n_decorative_motifs(npmi=+0.34, n=3) | n_stars(npmi=+0.30, n=3)"
dsheol,"n_rows(npmi=+0.39, n=2) | n_paragraphs(npmi=+0.26, n=3) | n_decorative_motifs(npmi=+0.25, n=3)"
dshey,"n_pipes(npmi=+0.34, n=2) | n_pools(npmi=+0.31, n=2) | n_nymphs(npmi=+0.29, n=2)"
dsho,"n_distinct_objects(npmi=+0.04, n=7)"
dshor,"n_containers(npmi=+0.08, n=1) | has_container(npmi=+0.06, n=1) | n_plant_fragments(npmi=+0.05, n=1)"
dshy,"n_distinct_objects(npmi=+0.04, n=7)"
dy,"n_pools(npmi=+0.22, n=16) | n_nymphs(npmi=+0.20, n=17) | n_pipes(npmi=+0.21, n=14)"
e,"has_moon_face(npmi=+0.70, n=1) | n_stars(npmi=+0.34, n=3) | has_marginal_annotation(npmi=+0.50, n=1)"
eees,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_stars(npmi=+0.29, n=4)"
eeey,"n_plant_fragments(npmi=+0.60, n=4) | n_labels(npmi=+0.43, n=5) | has_central_object(npmi=+0.70, n=1)"
ees,"has_spiral(npmi=+0.70, n=1) | spiral_turns(npmi=+0.70, n=1) | n_beads(npmi=+0.70, n=1)"
eey,"n_concentric_rings(npmi=+0.41, n=3) | n_labels(npmi=+0.35, n=4) | has_radial_symmetry(npmi=+0.38, n=3)"
ety,"n_pipes(npmi=+0.17, n=1) | n_pools(npmi=+0.15, n=1) | n_nymphs(npmi=+0.13, n=1)"
f,"has_marginal_annotation(npmi=+0.67, n=1) | n_concentric_rings(npmi=+0.29, n=1) | has_radial_symmetry(npmi=+0.27, n=1)"
fchedy,"n_pools(npmi=+0.31, n=2) | n_nymphs(npmi=+0.29, n=2) | has_water(npmi=+0.28, n=2)"
g,"has_sun_face(npmi=+0.43, n=1) | has_radial_symmetry(npmi=+0.10, n=2) | has_circular_structure(npmi=+0.08, n=2)"
k,"n_concentric_rings(npmi=+0.17, n=1) | has_radial_symmetry(npmi=+0.14, n=1) | has_circular_structure(npmi=+0.13, n=1)"
kaiin,"n_decorative_motifs(npmi=+0.51, n=17) | n_paragraphs(npmi=+0.49, n=16) | n_stars(npmi=+0.41, n=16)"
kain,"n_paragraphs(npmi=+0.49, n=12) | n_decorative_motifs(npmi=+0.47, n=12) | n_stars(npmi=+0.41, n=12)"
kair,"n_decorative_motifs(npmi=+0.39, n=5) | n_paragraphs(npmi=+0.32, n=4) | n_stars(npmi=+0.27, n=4)"
kal,"n_paragraphs(npmi=+0.35, n=7) | n_decorative_motifs(npmi=+0.33, n=7) | n_stars(npmi=+0.28, n=7)"
kar,"n_paragraphs(npmi=+0.45, n=14) | n_decorative_motifs(npmi=+0.44, n=14) | n_stars(npmi=+0.37, n=14)"
kch@152;y,"n_concentric_rings(npmi=+0.12, n=1) | has_radial_symmetry(npmi=+0.10, n=1) | n_distinct_objects(npmi=+0.04, n=5)"
kchdy,"n_pipes(npmi=+0.04, n=1) | n_pools(npmi=+0.02, n=1)"
kche@152;y,"n_paragraphs(npmi=+0.41, n=4) | n_decorative_motifs(npmi=+0.40, n=4) | n_stars(npmi=+0.35, n=4)"
kchedy,"n_paragraphs(npmi=+0.47, n=6) | n_decorative_motifs(npmi=+0.46, n=6) | n_stars(npmi=+0.41, n=6)"
kcheol,"has_star_motif(npmi=+0.54, n=1) | n_rays(npmi=+0.54, n=1) | n_flowers_visible(npmi=+0.41, n=1)"
kchey,"n_nymphs(npmi=+0.15, n=3) | has_water(npmi=+0.13, n=3) | n_paragraphs(npmi=+0.08, n=3)"
kcho,"has_star_motif(npmi=+0.58, n=1) | n_containers(npmi=+0.23, n=1) | has_container(npmi=+0.20, n=1)"
kchody,"has_marginal_annotation(npmi=+0.50, n=1)"
kchol,"has_star_motif(npmi=+0.32, n=1) | n_distinct_objects(npmi=+0.02, n=18)"
kchor,"n_flowers_visible(npmi=+0.19, n=1) | n_distinct_objects(npmi=+0.04, n=19) | n_leaves_visible(npmi=+0.15, n=1)"
kchy,"has_marginal_annotation(npmi=+0.24, n=1) | n_visual_text_columns(npmi=+0.11, n=1) | n_distinct_objects(npmi=+0.02, n=19)"
ke@152;y,"n_nymphs(npmi=+0.41, n=6) | has_water(npmi=+0.40, n=6) | n_pipes(npmi=+0.41, n=5)"
kedy,"n_pools(npmi=+0.37, n=5) | n_nymphs(npmi=+0.34, n=5) | has_water(npmi=+0.33, n=5)"
kee@152;y,"n_pools(npmi=+0.44, n=6) | n_paragraphs(npmi=+0.40, n=7) | n_decorative_motifs(npmi=+0.38, n=7)"
keedy,"n_paragraphs(npmi=+0.48, n=10) | n_decorative_motifs(npmi=+0.47, n=10) | n_stars(npmi=+0.41, n=10)"
keeey,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_stars(npmi=+0.29, n=4)"
keeo,"n_paragraphs(npmi=+0.27, n=2) | n_decorative_motifs(npmi=+0.26, n=2) | n_stars(npmi=+0.23, n=2)"
keeody,"has_T_O_diagram(npmi=+0.62, n=1) | n_plant_fragments(npmi=+0.27, n=2) | n_labels(npmi=+0.15, n=3)"
keeol,"n_plant_fragments(npmi=+0.49, n=5) | n_containers(npmi=+0.36, n=3) | has_container(npmi=+0.33, n=3)"
keey,"n_decorative_motifs(npmi=+0.45, n=15) | n_paragraphs(npmi=+0.43, n=14) | n_stars(npmi=+0.36, n=14)"
keo,"n_stars(npmi=+0.34, n=3) | has_sun_face(npmi=+0.58, n=1) | has_star_motif(npmi=+0.58, n=1)"
keody,"n_rays_or_petals(npmi=+0.41, n=2) | fragments_are_whole_plants(npmi=+0.36, n=1) | n_rays(npmi=+0.36, n=1)"
keol,"n_stars(npmi=+0.30, n=7) | n_flowers_visible(npmi=+0.39, n=2) | n_paragraphs(npmi=+0.24, n=5)"
keor,"n_plant_fragments(npmi=+0.24, n=2) | n_labels(npmi=+0.12, n=3) | n_rows(npmi=+0.21, n=1)"
key,"n_stars(npmi=+0.22, n=4) | n_rays(npmi=+0.41, n=1) | n_paragraphs(npmi=+0.19, n=3)"
kody,"has_marginal_annotation(npmi=+0.39, n=1) | n_flowers_visible(npmi=+0.34, n=1) | branching_depth(npmi=+0.34, n=1)"
kol,"has_star_motif(npmi=+0.41, n=2) | n_visual_text_columns(npmi=+0.29, n=3) | has_marginal_annotation(npmi=+0.33, n=2)"
kor,"n_visual_text_columns(npmi=+0.28, n=2) | has_star_motif(npmi=+0.32, n=1) | n_plant_fragments(npmi=+0.17, n=3)"
kshey,"n_pipes(npmi=+0.20, n=1) | n_pools(npmi=+0.18, n=1) | n_nymphs(npmi=+0.16, n=1)"
ksho,"n_distinct_objects(npmi=+0.04, n=7)"
ky,"n_paragraphs(npmi=+0.27, n=5) | n_decorative_motifs(npmi=+0.26, n=5) | n_stars(npmi=+0.22, n=5)"
l,"n_paragraphs(npmi=+0.48, n=18) | n_decorative_motifs(npmi=+0.47, n=18) | n_stars(npmi=+0.43, n=19)"
l@221;iin,"n_paragraphs(npmi=+0.58, n=5) | n_decorative_motifs(npmi=+0.57, n=5) | n_stars(npmi=+0.52, n=5)"
laiin,"n_paragraphs(npmi=+0.45, n=4) | n_decorative_motifs(npmi=+0.44, n=4) | n_stars(npmi=+0.39, n=4)"
lal,"n_nymphs(npmi=+0.41, n=3) | has_water(npmi=+0.40, n=3) | has_human_figure(npmi=+0.30, n=3)"
lar,"n_paragraphs(npmi=+0.32, n=4) | n_decorative_motifs(npmi=+0.31, n=4) | n_stars(npmi=+0.27, n=4)"
lchal,"n_paragraphs(npmi=+0.49, n=4) | n_decorative_motifs(npmi=+0.48, n=4) | n_stars(npmi=+0.44, n=4)"
lchdy,"n_paragraphs(npmi=+0.37, n=5) | n_decorative_motifs(npmi=+0.36, n=5) | n_stars(npmi=+0.31, n=5)"
lche@152;y,"n_nymphs(npmi=+0.61, n=11) | has_water(npmi=+0.59, n=11) | n_pools(npmi=+0.59, n=10)"
lched,"n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3) | n_stars(npmi=+0.34, n=3)"
lchedy,"n_paragraphs(npmi=+0.57, n=16) | n_decorative_motifs(npmi=+0.55, n=16) | n_stars(npmi=+0.49, n=16)"
lcheedy,"n_paragraphs(npmi=+0.45, n=4) | n_decorative_motifs(npmi=+0.44, n=4) | n_stars(npmi=+0.39, n=4)"
lcheey,"n_paragraphs(npmi=+0.53, n=7) | n_decorative_motifs(npmi=+0.52, n=7) | n_stars(npmi=+0.47, n=7)"
lcheol,"n_paragraphs(npmi=+0.41, n=4) | n_decorative_motifs(npmi=+0.40, n=4) | n_stars(npmi=+0.35, n=4)"
lchey,"n_pools(npmi=+0.60, n=13) | n_nymphs(npmi=+0.56, n=13) | has_water(npmi=+0.54, n=13)"
lchy,"n_nymphs(npmi=+0.60, n=6) | has_water(npmi=+0.59, n=6) | n_pipes(npmi=+0.59, n=5)"
ldar,"n_paragraphs(npmi=+0.35, n=3) | n_decorative_motifs(npmi=+0.34, n=3) | n_stars(npmi=+0.30, n=3)"
ldy,"n_nymphs(npmi=+0.46, n=7) | has_water(npmi=+0.44, n=7) | has_human_figure(npmi=+0.32, n=7)"
lkaiin,"n_paragraphs(npmi=+0.62, n=13) | n_decorative_motifs(npmi=+0.61, n=13) | n_stars(npmi=+0.54, n=13)"
lkain,"n_paragraphs(npmi=+0.60, n=11) | n_decorative_motifs(npmi=+0.59, n=11) | n_stars(npmi=+0.53, n=11)"
lkam,"n_paragraphs(npmi=+0.56, n=6) | n_decorative_motifs(npmi=+0.55, n=6) | n_stars(npmi=+0.50, n=6)"
lkar,"n_paragraphs(npmi=+0.69, n=15) | n_decorative_motifs(npmi=+0.67, n=15) | n_stars(npmi=+0.61, n=15)"
lkchedy,"n_paragraphs(npmi=+0.42, n=5) | n_decorative_motifs(npmi=+0.41, n=5) | n_stars(npmi=+0.37, n=5)"
lkchey,"n_paragraphs(npmi=+0.44, n=3) | n_decorative_motifs(npmi=+0.43, n=3) | n_stars(npmi=+0.39, n=3)"
lke@152;y,"n_paragraphs(npmi=+0.47, n=6) | n_decorative_motifs(npmi=+0.46, n=6) | n_stars(npmi=+0.41, n=6)"
lkedy,"n_paragraphs(npmi=+0.40, n=5) | n_decorative_motifs(npmi=+0.39, n=5) | n_nymphs(npmi=+0.39, n=4)"
lkee@152;y,"n_paragraphs(npmi=+0.45, n=5) | n_decorative_motifs(npmi=+0.44, n=5) | n_stars(npmi=+0.40, n=5)"
lkeedy,"n_paragraphs(npmi=+0.68, n=13) | n_decorative_motifs(npmi=+0.66, n=13) | n_stars(npmi=+0.60, n=13)"
lkeeey,"n_paragraphs(npmi=+0.63, n=7) | n_decorative_motifs(npmi=+0.62, n=7) | n_stars(npmi=+0.57, n=7)"
lkeey,"n_paragraphs(npmi=+0.71, n=15) | n_decorative_motifs(npmi=+0.69, n=15) | n_stars(npmi=+0.63, n=15)"
lkey,"n_paragraphs(npmi=+0.41, n=4) | n_decorative_motifs(npmi=+0.40, n=4) | n_stars(npmi=+0.35, n=4)"
lkl,"n_paragraphs(npmi=+0.49, n=5) | n_decorative_motifs(npmi=+0.48, n=5) | n_stars(npmi=+0.43, n=5)"
lky,"n_paragraphs(npmi=+0.62, n=10) | n_decorative_motifs(npmi=+0.61, n=10) | n_stars(npmi=+0.55, n=10)"
lo,"n_paragraphs(npmi=+0.43, n=7) | n_decorative_motifs(npmi=+0.42, n=7) | n_stars(npmi=+0.37, n=7)"
lol,"n_nymphs(npmi=+0.53, n=11) | has_water(npmi=+0.52, n=11) | n_paragraphs(npmi=+0.44, n=11)"
loly,"n_nymphs(npmi=+0.65, n=5) | has_water(npmi=+0.64, n=5) | n_pipes(npmi=+0.62, n=4)"
lom,"n_pools(npmi=+0.48, n=3) | n_nymphs(npmi=+0.45, n=3) | has_water(npmi=+0.44, n=3)"
lor,"n_paragraphs(npmi=+0.52, n=13) | n_decorative_motifs(npmi=+0.50, n=13) | n_stars(npmi=+0.44, n=13)"
los,"n_pipes(npmi=+0.17, n=1) | n_pools(npmi=+0.15, n=1) | n_nymphs(npmi=+0.13, n=1)"
lr,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_pipes(npmi=+0.37, n=3)"
ls,"n_stars(npmi=+0.38, n=6) | n_paragraphs(npmi=+0.37, n=5) | n_decorative_motifs(npmi=+0.36, n=5)"
lshe@152;y,"n_pools(npmi=+0.64, n=7) | n_nymphs(npmi=+0.61, n=7) | has_water(npmi=+0.60, n=7)"
lshedy,"n_nymphs(npmi=+0.55, n=9) | has_water(npmi=+0.54, n=9) | n_pipes(npmi=+0.51, n=7)"
lsheey,"n_pipes(npmi=+0.51, n=3) | n_pools(npmi=+0.48, n=3) | n_nymphs(npmi=+0.45, n=3)"
lshey,"n_pipes(npmi=+0.45, n=4) | n_paragraphs(npmi=+0.40, n=5) | n_decorative_motifs(npmi=+0.39, n=5)"
ly,"n_nymphs(npmi=+0.58, n=7) | has_water(npmi=+0.57, n=7) | n_pools(npmi=+0.55, n=6)"
m,"n_concentric_rings(npmi=+0.09, n=1) | n_paragraphs(npmi=+0.08, n=1) | n_decorative_motifs(npmi=+0.07, n=1)"
n,"n_distinct_objects(npmi=+0.04, n=5)"
o,"n_paragraphs(npmi=+0.32, n=17) | n_stars(npmi=+0.29, n=19) | n_decorative_motifs(npmi=+0.30, n=17)"
o@152;aiin,"n_rows(npmi=+0.44, n=2) | n_paragraphs(npmi=+0.31, n=3) | n_decorative_motifs(npmi=+0.30, n=3)"
o@152;y,"has_star_motif(npmi=+0.54, n=1) | has_container(npmi=+0.34, n=2) | n_human_figures(npmi=+0.21, n=1)"
oaiin,"n_paragraphs(npmi=+0.20, n=4) | n_decorative_motifs(npmi=+0.19, n=4) | has_star_motif(npmi=+0.36, n=1)"
